2,1,38,1,1,3,1,4,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1
2,2,40,1,1,3,1,4,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1
2,2,30,1,2,3,3,1,2,3,3,2,1,2,2,1,3,3,1,1,2,1,2
2,2,25,1,1,3,3,3,1,4,2,2,2,2,2,1,2,1,2,1,1,2,1
2,1,23,2,1,3,3,1,1,3,2,1,1,1,1,1,3,2,1,1,1,1,1
2,1,21,2,1,1,1,4,1,1,1,2,2,1,2,1,2,3,1,2,2,0,1
2,1,23,1,1,3,1,3,1,2,2,1,2,1,1,1,3,3,1,1,2,1,1
2,2,26,1,3,3,3,3,1,2,2,2,2,2,2,1,3,3,1,1,2,2,1
2,2,21,1,1,3,1,4,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1
2,2,37,1,3,5,3,4,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1
2,1,30,1,1,3,3,1,1,3,3,2,1,1,2,1,3,3,2,1,2,1,1
2,2,22,3,3,5,2,4,1,2,1,1,2,1,1,1,4,3,2,1,2,2,1
2,1,35,1,1,3,3,1,1,3,3,2,1,1,2,1,3,3,1,1,2,1,1
2,2,25,3,3,3,2,4,1,2,1,1,2,1,1,1,3,3,2,1,2,2,1
2,2,27,3,3,3,2,4,1,2,1,1,2,1,1,1,3,3,2,1,2,2,1
2,2,28,1,3,3,2,1,1,0,2,1,2,2,1,1,2,1,2,2,2,2,2
2,2,29,4,3,3,3,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1
2,1,32,1,1,3,1,4,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1
2,1,33,1,1,3,3,1,1,2,3,2,1,1,2,1,1,3,1,1,2,1,1
2,2,34,1,3,3,1,4,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2
2,1,35,2,1,5,1,4,1,1,1,1,2,1,1,1,1,3,1,1,1,2,1
2,1,36,1,1,3,1,4,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1
2,2,35,1,1,5,3,3,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2
2,2,37,1,1,3,3,3,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1
2,2,38,1,1,3,3,4,1,2,3,2,1,2,2,1,2,3,2,2,2,2,1
2,2,39,1,1,2,1,4,1,2,2,0,1,1,1,1,2,2,1,1,1,1,2
2,1,40,1,2,1,1,4,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2
2,1,25,3,2,5,3,3,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2
